Store,Date,Cigarette Name,Cigarette UPC,Sell Unit Quantity,Item Number,Cost,Sales,Quantity Sold
3,4/12/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,4/14/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.4,2
3,4/15/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.2,1
3,4/16/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.2,1
3,4/16/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12,2
3,4/18/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.2,1
3,4/19/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.2,1
3,4/23/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.01,1
3,4/26/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.2,1
3,5/3/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,4.84,1
3,2/9/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.11,5.93,1
3,2/21/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.05,1
3,2/22/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.05,1
3,2/23/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.05,1
3,3/2/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.05,1
3,3/14/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,12.44,12.1,2
3,3/17/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.05,1
3,4/13/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.2,1
3,4/16/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.2,1
3,4/20/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.2,1
3,4/21/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.2,1
3,4/25/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.2,1
